RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
28,Katelyn Young,MUR,F,32,29.7,19.5,7.4,14.4,51.2,1.1,3.7,29.4,3.7,4.2,88.1,7.9,2.2,1.0,0.6,2.2,4705055,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705055.png&w=350&h=254
29,Tess Heal,SCU,G,34,32.0,19.5,6.5,14.1,46.2,0.9,2.5,35.3,5.6,6.4,87.2,3.9,4.9,0.9,0.3,3.9,5108571,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108571.png&w=350&h=254
30,Jada Guinn,UTC,G,33,35.6,19.5,7.5,14.5,52.2,0.2,0.7,27.3,4.2,5.4,78.1,6.9,2.5,1.0,0.3,2.0,4595968,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/236.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595968.png&w=350&h=254
31,Raegan McCowan,WIU,G,30,30.1,19.4,7.4,16.1,46.1,0.3,0.8,34.8,4.4,5.5,78.9,8.1,1.2,0.7,0.2,3.1,5178451,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2710.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178451.png&w=350&h=254
32,Kiki Iriafen,STAN,F,36,27.7,19.4,8.1,14.8,54.6,0.1,0.2,33.3,3.2,4.2,77.3,11.0,2.3,0.6,0.6,2.3,4898384,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898384.png&w=350&h=254
33,Harmoni Turner,HARV,G,23,33.4,19.3,7.1,17.3,41.1,1.2,4.6,26.4,3.9,5.0,77.4,6.2,4.3,2.2,0.1,2.8,4899316,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/108.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899316.png&w=350&h=254
34,Alexis Hutchison,WRST,G,33,35.0,19.3,7.0,17.1,41.0,2.0,6.4,31.3,3.3,4.0,82.6,5.6,3.2,1.9,0.2,3.1,5178106,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2750.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178106.png&w=350&h=254
35,Daisha Bradford,ULM,G,35,33.0,19.3,6.7,17.1,39.0,2.2,7.0,30.9,3.8,5.0,76.0,7.5,4.3,1.8,0.5,3.2,4898552,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898552.png&w=350&h=254
36,Audi Crooks,ISU,C,33,26.2,19.2,7.8,13.5,57.7,0.2,0.5,31.3,3.5,5.3,65.5,7.8,1.0,0.5,0.5,2.5,5175491,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175491.png&w=350&h=254
37,Madison Conner,TCU,G,27,34.9,19.2,6.0,15.7,38.4,3.7,9.6,38.6,3.4,4.0,84.4,4.7,3.0,1.2,0.3,2.8,4712562,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4712562.png&w=350&h=254
38,Aliyah Matharu,FLA,G,30,24.3,19.0,6.6,16.6,40.0,1.7,6.1,28.0,4.0,5.0,80.1,3.7,2.4,2.7,0.3,3.5,4433638,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433638.png&w=350&h=254
39,Delanie Crawford,TLSA,G,35,32.2,19.0,6.3,14.3,43.7,2.8,7.2,39.3,3.7,4.4,83.7,5.7,2.7,1.1,0.1,2.3,4898637,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898637.png&w=350&h=254
