RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
1650,Renna Schwieterman,PFW,F,35,16.1,6.1,2.1,5.9,35.1,0.9,3.3,28.9,1.0,1.4,72.9,2.9,0.7,0.8,0.1,1.5,5178097,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178097.png&w=350&h=254
1651,Gabbie Marshall,IOWA,G,38,30.0,6.1,2.1,5.6,37.6,1.7,4.8,35.7,0.1,0.3,50.0,1.2,1.6,1.2,0.1,0.6,4433113,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433113.png&w=350&h=254
1652,Carmen Yanez,UMBC,G,26,28.6,6.0,2.3,5.7,40.1,0.8,2.5,33.8,0.7,1.0,65.4,2.1,2.1,0.7,0.1,2.1,5107672,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107672.png&w=350&h=254
1653,Drew Jordon,WAG,G,28,16.3,6.0,2.0,4.9,40.9,0.1,0.6,16.7,1.9,2.5,78.3,1.9,0.8,0.8,0.4,1.7,5178271,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178271.png&w=350&h=254
1654,Gabi Fields,UNCO,G,31,28.0,6.0,1.9,5.6,34.3,0.7,2.1,32.8,1.5,2.0,74.2,2.8,3.0,1.8,0.0,2.6,5107717,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107717.png&w=350&h=254
1655,Jayda McNabb,AFA,G,32,28.1,6.0,2.0,5.4,36.6,0.6,1.5,37.5,1.5,2.4,63.6,6.3,1.7,1.8,0.7,1.6,5177199,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177199.png&w=350&h=254
1656,Amelia Raidaveta,WEB,F,33,21.0,6.0,2.6,6.3,41.5,0.0,0.1,0.0,0.8,1.6,50.9,4.2,0.9,0.8,0.5,1.5,5107732,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107732.png&w=350&h=254
1657,Paris Locke,NCAT,F,33,23.7,6.0,2.3,6.2,36.9,0.3,1.5,17.6,1.2,2.0,58.5,4.7,1.5,0.8,0.2,1.9,5177791,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177791.png&w=350&h=254
1658,Simone Foreman,HC,G,34,25.9,6.0,2.4,6.8,34.6,0.4,1.8,21.3,0.9,1.4,66.7,8.5,1.0,0.9,0.1,1.3,5109212,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109212.png&w=350&h=254
1659,Kaitlyn Davis,USC,F,30,26.0,6.0,2.5,4.5,54.4,0.0,0.1,0.0,1.1,1.8,58.2,5.8,1.7,0.8,0.6,1.0,4433382,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433382.png&w=350&h=254
1660,Asjah Inniss,GW,G,28,29.8,6.0,2.1,6.6,31.2,1.1,3.0,35.7,0.8,1.2,66.7,4.5,2.3,0.9,0.2,2.4,4433498,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433498.png&w=350&h=254
1661,Lauren Davenport,BYU,G,32,23.4,6.0,2.2,6.4,34.0,1.2,3.5,35.1,0.4,0.7,61.9,2.7,1.1,0.3,0.5,1.9,4899718,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899718.png&w=350&h=254
1662,O'Mariyah Tucker,BCU,G,29,21.6,6.0,2.1,6.0,34.7,0.6,2.3,26.5,1.2,1.9,64.3,4.5,0.9,0.9,0.4,1.2,5109579,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109579.png&w=350&h=254
1663,Yirsy Queliz,NE,G,27,26.4,6.0,2.1,5.9,36.7,0.9,2.9,31.6,0.8,1.1,72.4,3.1,2.1,1.3,0.0,2.0,5175927,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175927.png&w=350&h=254
1664,Ashley Chea,PRIN,G,30,15.5,6.0,2.2,5.8,38.3,1.2,3.2,37.9,0.3,0.5,66.7,1.4,1.2,0.4,0.1,1.0,5176454,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5176454.png&w=350&h=254
1665,Kaitlyn Orihel,VILL,G,33,23.6,6.0,2.2,4.3,49.7,0.9,2.4,36.7,0.8,1.0,78.8,2.5,0.9,0.5,0.3,1.0,4899024,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899024.png&w=350&h=254
1666,Paris Gilmore,DETM,G,33,19.2,6.0,2.3,7.2,32.2,0.6,2.4,26.9,0.7,0.9,71.0,1.0,1.3,0.5,0.1,2.2,5177884,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177884.png&w=350&h=254
1667,MJ Bruno,MONT,G,32,24.4,6.0,2.2,4.9,44.3,0.9,2.0,43.8,0.7,1.1,63.9,4.9,1.0,0.8,0.0,1.1,4899389,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899389.png&w=350&h=254
1668,Walker Demers,SDAK,C,32,15.4,6.0,2.3,4.6,50.7,0.2,0.7,27.3,1.2,1.5,77.1,4.1,0.3,0.7,0.3,1.0,5109988,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109988.png&w=350&h=254
1669,Odeth Betancourt,WKU,F,31,19.0,6.0,2.3,5.5,41.9,0.0,0.3,0.0,1.3,1.8,73.2,4.6,0.5,1.1,0.5,1.2,4898405,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898405.png&w=350&h=254
1670,Faith Stinson,IUIN,F,30,22.6,6.0,2.3,5.9,38.2,0.7,2.7,24.7,0.8,1.6,46.9,5.0,0.7,0.4,1.2,0.9,5109800,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109800.png&w=350&h=254
1671,Trinity Palacio,UMBC,G,29,25.5,6.0,2.2,7.0,31.4,0.7,2.1,31.1,0.9,1.2,72.2,2.3,2.2,0.7,0.1,1.3,5174547,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174547.png&w=350&h=254
1672,Khalis Cain,UNCG,F,33,23.1,5.9,2.3,4.4,52.8,0.0,0.0,0.0,1.3,2.2,59.5,7.5,0.3,0.8,1.0,0.8,4704267,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704267.png&w=350&h=254
1673,Jessica Cook,TOL,F,33,12.3,5.9,2.3,4.7,48.7,0.0,0.0,0.0,1.3,2.0,67.7,3.5,0.7,0.5,0.2,0.7,4900087,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900087.png&w=350&h=254
1674,Charlotte Kohl,UNM,C,32,22.1,5.9,2.3,4.6,49.3,0.1,0.3,18.2,1.4,2.1,64.7,6.3,0.5,0.5,1.5,1.2,5177270,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177270.png&w=350&h=254
1675,Molly Davis,IOWA,G,31,23.5,5.9,2.2,4.1,53.9,0.7,1.7,40.7,0.8,0.9,85.7,2.5,3.0,0.7,0.1,1.2,4595290,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595290.png&w=350&h=254
1676,Tyginae Wright,ALCN,F,30,24.8,5.9,2.2,6.8,33.0,1.0,3.5,28.3,0.5,0.6,82.4,2.4,2.9,0.9,0.1,2.6,4596203,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4596203.png&w=350&h=254
1677,Nyamer Diew,ISU,F,30,23.1,5.9,2.2,6.0,36.5,0.9,2.9,29.9,0.7,0.9,74.1,3.1,1.1,0.4,0.5,1.1,4599130,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4599130.png&w=350&h=254
1678,Rachel Johnson,JVST,G,29,21.3,5.9,2.1,6.2,33.5,1.4,4.3,33.3,0.3,0.6,62.5,4.1,1.3,1.0,0.0,1.0,4703710,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703710.png&w=350&h=254
1679,Gracie Gallegos,UCSD,G,29,26.9,5.9,2.1,5.7,37.3,0.7,1.8,39.6,0.9,1.4,65.9,4.7,1.3,1.0,0.4,1.2,5108749,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108749.png&w=350&h=254
1680,J'Mani Ingram,APP,G,28,16.4,5.9,2.3,5.9,38.0,0.0,0.1,0.0,1.4,1.9,75.5,3.1,0.6,0.5,0.1,1.9,4704821,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704821.png&w=350&h=254
1681,Olivia Young,BRWN,G,27,23.3,5.9,1.9,5.1,38.0,1.4,4.1,35.1,0.6,0.8,77.3,3.0,0.5,0.8,0.7,0.6,5176328,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5176328.png&w=350&h=254
1682,Annalicia Goodman,JMU,F,35,16.1,5.9,2.2,3.9,56.6,0.0,0.0,0.0,1.5,2.5,60.9,4.0,0.1,0.2,0.5,0.8,4704989,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704989.png&w=350&h=254
1683,Kindyll Wetta,COLO,G,34,23.8,5.9,2.3,4.6,48.7,0.4,1.2,32.5,1.0,1.5,68.0,3.4,3.9,1.8,0.1,1.6,4691704,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4691704.png&w=350&h=254
1684,Jada Donaldson,MILW,G,32,32.9,5.9,2.1,5.2,40.7,0.9,2.3,40.5,0.7,0.8,88.5,2.8,3.0,0.9,0.1,1.2,4705099,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705099.png&w=350&h=254
1685,Haley Thierry,YSU,G,32,23.2,5.9,2.3,5.1,43.9,0.3,1.0,30.3,1.1,1.5,74.5,3.8,1.9,1.2,0.4,1.5,4899253,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899253.png&w=350&h=254
1686,Kate Deeble,WAKE,G,32,24.3,5.9,2.2,6.5,34.3,1.1,3.7,29.1,0.4,0.6,65.0,1.5,2.1,1.0,0.1,1.8,5107759,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107759.png&w=350&h=254
1687,Peyton McFarland,HOU,F,30,18.7,5.9,2.4,4.5,52.9,0.0,0.0,0.0,1.1,1.7,64.7,4.4,0.1,0.6,0.9,1.4,4582913,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4582913.png&w=350&h=254
1688,Aannah Interrante,SEA,G,29,22.6,5.9,2.0,5.4,36.1,1.5,4.1,36.1,0.5,0.7,66.7,1.3,1.0,0.6,0.1,1.0,4399365,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4399365.png&w=350&h=254
1689,Ashton Elley,UAB,G,29,17.8,5.9,2.0,4.6,44.7,1.7,3.9,44.2,0.1,0.3,33.3,2.7,0.7,0.9,0.1,0.5,5108330,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108330.png&w=350&h=254
1690,Taya Davis,FOR,G,28,23.9,5.9,2.2,5.7,38.7,0.2,0.8,26.1,1.3,2.0,63.6,3.3,3.4,1.3,0.1,3.5,5174351,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174351.png&w=350&h=254
1691,Brie Crittendon,EKU,G,33,18.7,5.9,2.0,5.9,33.3,0.7,2.5,26.2,1.3,1.5,85.7,2.8,0.9,0.7,0.1,1.3,4898923,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898923.png&w=350&h=254
1692,Mar'shaun Bostic,AUB,G,31,18.1,5.9,2.0,4.9,40.8,0.0,0.2,0.0,1.9,2.9,65.2,1.8,2.6,1.6,0.2,2.2,4898608,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898608.png&w=350&h=254
1693,Isabella King,BUCK,F,31,25.6,5.9,1.9,5.2,36.3,0.9,3.3,27.5,1.2,1.5,80.9,2.8,1.1,0.7,0.3,1.2,4900533,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900533.png&w=350&h=254
1694,Jess Finney,USD,G,30,19.6,5.9,2.1,5.8,36.4,0.9,2.7,32.1,0.8,1.2,64.9,2.1,2.0,1.1,0.4,1.9,4711715,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4711715.png&w=350&h=254
1695,Morgan Dillard,KENN,G,30,21.0,5.9,2.3,5.0,45.3,0.1,0.2,40.0,1.3,1.7,74.5,3.0,1.0,1.0,0.1,1.7,4899409,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899409.png&w=350&h=254
1696,Julia Coleman,TXST,F,30,11.0,5.9,2.4,4.0,60.5,0.0,0.0,0.0,1.1,1.9,57.1,3.1,0.3,0.9,0.5,1.2,5176145,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5176145.png&w=350&h=254
1697,Samiana Suguturaga,USU,G,30,19.1,5.9,2.2,5.1,43.4,0.3,0.9,29.6,1.2,1.8,67.9,3.7,0.5,0.7,0.7,2.0,5178164,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178164.png&w=350&h=254
1698,Grace Crowley,MILW,F,27,20.0,5.9,2.3,3.4,66.3,0.0,0.0,0.0,1.3,1.6,81.8,4.7,1.4,0.8,0.2,1.8,4595441,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595441.png&w=350&h=254
1699,Kharyssa Richardson,MISS,F,33,15.8,5.8,2.1,4.8,44.0,0.2,0.5,50.0,1.4,2.0,69.2,3.1,0.5,0.5,0.5,1.5,5105400,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5105400.png&w=350&h=254
1700,Alexus Mobley,AKR,G,26,22.1,5.8,2.4,7.1,33.7,0.2,1.0,24.0,0.8,1.3,64.7,4.5,1.3,1.1,0.5,1.9,5178138,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178138.png&w=350&h=254
1701,Victoria Dixon,AAMU,G,31,19.8,5.8,2.0,6.1,32.3,0.4,1.9,20.0,1.5,2.1,71.2,1.7,1.4,0.5,0.0,2.0,5177905,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177905.png&w=350&h=254
1702,Blessing King,MORE,G,30,27.6,5.8,2.5,4.3,58.6,0.0,0.1,0.0,0.8,2.2,38.5,10.6,1.0,1.3,0.7,1.2,5178412,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178412.png&w=350&h=254
1703,Chloe Storer,UIW,F,29,22.6,5.8,2.3,4.5,50.4,0.0,0.0,0.0,1.3,1.8,72.5,3.3,1.1,0.4,0.6,1.0,4704789,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704789.png&w=350&h=254
1704,Hennessey Luu-Brown,M-OH,G,28,25.8,5.8,2.2,5.6,39.1,0.9,2.4,39.4,0.5,0.8,71.4,2.0,1.3,1.1,0.0,2.3,5108629,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108629.png&w=350&h=254
1705,Laura Taylor,WEB,G,33,27.0,5.8,2.1,5.8,35.9,1.1,3.6,30.5,0.5,0.6,90.0,4.3,1.5,1.1,0.2,1.2,4899557,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899557.png&w=350&h=254
1706,Solangelei Akridge,ALST,G,27,25.4,5.8,1.8,5.8,30.6,1.1,3.3,34.4,1.1,1.4,76.9,1.7,1.4,0.6,0.1,2.4,5177912,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177912.png&w=350&h=254
1707,Shamaryah Duncan,UNT,G,32,25.8,5.8,2.0,5.4,36.6,1.0,2.8,36.3,0.8,1.2,71.1,2.9,1.3,0.8,0.1,1.4,4703713,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703713.png&w=350&h=254
1708,AC Markham,UPST,F,32,26.1,5.8,2.1,5.1,41.5,0.5,1.1,45.7,1.1,1.7,64.2,5.2,1.5,0.5,0.4,2.1,4899627,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899627.png&w=350&h=254
1709,Yaubryon Chambers,TNTC,F,31,13.5,5.8,2.4,4.4,54.4,0.0,0.0,0.0,1.0,1.7,61.5,3.0,0.7,1.2,1.0,1.6,4433659,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433659.png&w=350&h=254
1710,Ruba Abo Hashesh,BRAD,G,31,25.4,5.8,1.9,6.3,30.6,0.8,3.1,26.0,1.1,1.4,83.3,2.1,2.5,0.6,0.0,2.4,5109752,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109752.png&w=350&h=254
1711,Carys Roy,SPU,C,30,21.4,5.8,2.0,3.6,55.0,0.0,0.0,0.0,1.8,2.6,70.1,4.4,0.6,1.0,0.9,1.9,5178581,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178581.png&w=350&h=254
1712,Jailah Donald,SJU,G,33,27.5,5.8,2.2,5.2,41.5,0.9,2.7,35.2,0.5,0.6,90.0,2.8,1.5,0.7,0.0,1.4,5106197,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5106197.png&w=350&h=254
1713,Nya Threatt,UTA,G,33,26.9,5.8,1.7,5.5,31.7,0.5,1.8,25.0,1.9,2.7,69.7,3.4,3.1,1.2,0.3,2.4,5108115,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108115.png&w=350&h=254
1714,Miriley Simon,NDSU,F,33,13.6,5.8,2.1,4.4,46.9,0.5,1.2,42.1,1.2,1.7,69.6,2.9,0.5,0.2,0.2,0.5,5178464,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178464.png&w=350&h=254
1715,Tianna Johnson,SBU,G,27,24.0,5.8,2.0,5.6,34.9,0.3,1.3,25.0,1.5,2.4,64.1,2.7,1.3,0.6,0.1,1.7,4898537,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898537.png&w=350&h=254
1716,Maren Louridas,NAVY,G,31,29.9,5.8,2.0,6.3,31.8,0.8,3.6,23.2,0.9,1.5,61.7,5.8,1.7,1.1,0.3,1.2,5109236,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109236.png&w=350&h=254
1717,Sammiyah Hoskin,UND,G,30,28.4,5.8,2.2,6.9,32.4,0.3,1.4,22.0,1.0,1.6,61.2,3.9,1.5,1.0,0.3,1.8,4704157,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704157.png&w=350&h=254
